Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-12-09 09:30:00-05:00,683.1500244140625,683.6801147460938,682.8200073242188,683.4099731445312,2603428,0.0,0.0,0.0
2025-12-09 09:35:00-05:00,683.4199829101562,684.0399780273438,683.3200073242188,683.8900146484375,1072371,0.0,0.0,0.0
2025-12-09 09:40:00-05:00,683.8800048828125,684.1300048828125,683.3400268554688,683.7000122070312,957693,0.0,0.0,0.0
2025-12-09 09:45:00-05:00,683.7000122070312,684.1199951171875,683.469970703125,684.0598754882812,933129,0.0,0.0,0.0
2025-12-09 09:50:00-05:00,684.0599975585938,684.4299926757812,683.9500122070312,684.4000244140625,771954,0.0,0.0,0.0
2025-12-09 09:55:00-05:00,684.4099731445312,684.530029296875,684.10498046875,684.4199829101562,747421,0.0,0.0,0.0
2025-12-09 10:00:00-05:00,684.4400024414062,684.9400024414062,684.0499877929688,684.5599975585938,929894,0.0,0.0,0.0
2025-12-09 10:05:00-05:00,684.5599975585938,684.64501953125,683.969970703125,684.27001953125,652427,0.0,0.0,0.0
2025-12-09 10:10:00-05:00,684.280029296875,684.4600219726562,684.1300048828125,684.1799926757812,476274,0.0,0.0,0.0
2025-12-09 10:15:00-05:00,684.1900024414062,684.4343872070312,683.9650268554688,684.125,521360,0.0,0.0,0.0
2025-12-09 10:20:00-05:00,684.1500244140625,684.27001953125,683.8828735351562,684.1599731445312,494119,0.0,0.0,0.0
2025-12-09 10:25:00-05:00,684.1599731445312,684.2999267578125,683.760009765625,684.2150268554688,671337,0.0,0.0,0.0
2025-12-09 10:30:00-05:00,684.2000122070312,684.52001953125,683.989990234375,684.1998901367188,603487,0.0,0.0,0.0
2025-12-09 10:35:00-05:00,684.2000122070312,684.2100219726562,683.844970703125,684.030029296875,373235,0.0,0.0,0.0
2025-12-09 10:40:00-05:00,684.030029296875,684.47998046875,683.864990234375,684.469970703125,495887,0.0,0.0,0.0
2025-12-09 10:45:00-05:00,684.47998046875,684.4998168945312,683.5850219726562,683.8900146484375,727816,0.0,0.0,0.0
2025-12-09 10:50:00-05:00,683.8900146484375,684.4000244140625,683.8214111328125,684.280029296875,584347,0.0,0.0,0.0
2025-12-09 10:55:00-05:00,684.280029296875,684.5700073242188,684.27001953125,684.5050048828125,320234,0.0,0.0,0.0
2025-12-09 11:00:00-05:00,684.489990234375,684.8300170898438,684.4400024414062,684.6199951171875,587139,0.0,0.0,0.0
2025-12-09 11:05:00-05:00,684.6300048828125,684.8400268554688,684.47998046875,684.7000122070312,409318,0.0,0.0,0.0
2025-12-09 11:10:00-05:00,684.6901245117188,684.9000244140625,684.6400146484375,684.8499755859375,394233,0.0,0.0,0.0
2025-12-09 11:15:00-05:00,684.8499755859375,685.3400268554688,684.8400268554688,685.2800903320312,575052,0.0,0.0,0.0
2025-12-09 11:20:00-05:00,685.2899780273438,685.3300170898438,685.0399780273438,685.2050170898438,454792,0.0,0.0,0.0
2025-12-09 11:25:00-05:00,685.2100219726562,685.219970703125,684.77001953125,684.8099975585938,360234,0.0,0.0,0.0
2025-12-09 11:30:00-05:00,684.8099975585938,685.239990234375,684.77001953125,685.2399291992188,480315,0.0,0.0,0.0
