Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1999-03-10 00:00:00-05:00,43.18144735011798,43.2078418778381,42.46879510167471,43.128658294677734,5232000,0.0,0.0,0.0
1999-03-11 00:00:00-05:00,43.44537222022406,43.69612011578428,42.495169668627426,43.33979415893555,9688600,0.0,0.0,0.0
1999-03-12 00:00:00-05:00,43.18145259519046,43.20784712611661,41.94090964166115,42.28403854370117,8743600,0.0,0.0,0.0
1999-03-15 00:00:00-05:00,42.60075900161151,43.55096180462143,42.15205212241238,43.498172760009766,6369000,0.0,0.0,0.0
1999-03-16 00:00:00-05:00,43.6829332037236,44.052456505749056,43.20783181540516,43.86769485473633,4905800,0.0,0.0,0.0
1999-03-17 00:00:00-05:00,43.86769864169034,43.92048768939394,43.418991736209755,43.55096435546875,3965000,0.0,0.0,0.0
1999-03-18 00:00:00-05:00,43.4982002974974,44.42200916303891,43.48500302798966,44.39561462402344,4848400,0.0,0.0,0.0
1999-03-19 00:00:00-05:00,44.9762600240655,44.9762600240655,43.23422178369677,43.260616302490234,7160400,0.0,0.0,0.0
1999-03-22 00:00:00-05:00,43.44540622515616,43.55098436908121,42.65357014571833,42.73275375366211,5024800,0.0,0.0,0.0
1999-03-23 00:00:00-05:00,42.495189744898056,42.653556911649225,41.149068827513084,41.22825241088867,10962400,0.0,0.0,0.0
1999-03-24 00:00:00-05:00,41.59777261361987,42.6535536444224,40.96430399513835,42.627159118652344,8447000,0.0,0.0,0.0
1999-03-25 00:00:00-05:00,43.2870116968736,44.184425354003906,43.00327061410446,44.184425354003906,8133800,0.0,0.0,0.0
1999-03-26 00:00:00-05:00,43.81490960789188,44.316405561235214,43.524569845429944,43.70933151245117,8256200,0.0,0.0,0.0
1999-03-29 00:00:00-05:00,44.23720722154026,45.319382338534986,43.973262071053746,45.29298782348633,5113800,0.0,0.0,0.0
1999-03-30 00:00:00-05:00,45.240225518813155,45.60974894778829,44.79151849791477,44.976280212402344,4940600,0.0,0.0,0.0
1999-03-31 00:00:00-05:00,45.71531210121759,45.76810114521438,44.184429825310765,44.316402435302734,8256600,0.0,0.0,0.0
1999-04-01 00:00:00-05:00,45.60973864703362,45.66252769639361,44.501168610473776,45.24021530151367,8715800,0.0,0.0,0.0
1999-04-05 00:00:00-04:00,45.97265472229537,46.94265332200506,45.68891363530546,46.87666702270508,5697200,0.0,0.0,0.0
1999-04-06 00:00:00-04:00,46.823881491746555,47.483744534189434,46.427963666280824,46.969051361083984,7522400,0.0,0.0,0.0
1999-04-07 00:00:00-04:00,47.404559263785,47.51013734677784,45.47775924916568,46.480751037597656,11923600,0.0,0.0,0.0
1999-04-08 00:00:00-04:00,46.40158896002971,47.07464955074686,45.4513857731349,46.85029602050781,7952400,0.0,0.0,0.0
1999-04-09 00:00:00-04:00,46.77111297812467,47.24621457722526,46.63914031170784,47.1406364440918,4946800,0.0,0.0,0.0
1999-04-12 00:00:00-04:00,46.0320736305555,47.140644211107876,45.97928455529111,46.823909759521484,10934000,0.0,0.0,0.0
1999-04-13 00:00:00-04:00,47.11422271728515,47.21980080740792,45.82089111328125,46.19041442871094,9962200,0.0,0.0,0.0
1999-04-14 00:00:00-04:00,46.7711176945613,46.82390676645132,44.349419021606444,44.60676574707031,21253800,0.0,0.0,0.0
1999-04-15 00:00:00-04:00,44.76510693159844,45.28639871337855,43.181435695810755,45.21381378173828,17650600,0.0,0.0,0.0
1999-04-16 00:00:00-04:00,45.10824064024227,45.10824064024227,43.6565418484264,43.89409255981445,17274000,0.0,0.0,0.0
1999-04-19 00:00:00-04:00,44.18444015551065,44.5539635498817,41.3932188016007,41.8353271484375,19460600,0.0,0.0,0.0
1999-04-20 00:00:00-04:00,41.65054681343771,43.12863972950394,41.254629068062826,42.7855110168457,17413600,0.0,0.0,0.0
1999-04-21 00:00:00-04:00,43.181431962629404,44.92347017139074,42.60075255970896,44.89707565307617,10940400,0.0,0.0,0.0
